	text_a	text_b	labels
4096	Heavy Fighting Reported in Syria's Aleppo	Heavy fighting reported in Damascus	1.4
4097	France says Greece must show credibility for eurozone	France's Hollande backs Greece but urges credible reform	1.8
4098	Avengers sets box office record	The Hunger Games breaks US box office record	1.2
4099	4 French Soldiers Reported Killed in Afghanistan	British Soldier Killed In Afghanistan	1
4100	Spanish bailout dilemma gets more acute	Spanish dilemma gets more acute	3.4
4101	NATO soldier dies in Afghanistan	Two Aust soldiers wounded in Afghanistan	0.6
4102	Chinese stocks open lower Wednesday	China stocks open lower Friday	2.4
4103	Palestinian leadership condemn Israeli FM call to oust Abbas	Palestinian leadership backs Fatah-Hamas Doha deal	1
4104	Mitt Romney wins Maryland GOP primary	Romney wins Maryland Republican primary	4.8
4105	Man finds car on eBay 42 years after it was stolen	Texas man finds his car 42 years after it was stolen	3.6
4106	Sylvester Stallone's son found dead in Hollywood	Sylvester Stalloneâ€™s son, Sage Stallone, found dead in Hol	3.4
4107	NATO: 4 aid workers rescued from Afghan insurgents	5 aid workers freed in operation in Afghanistan	2.8
4108	Russia jails Pussy Riot protest punks for two years	Russian court to rule in Pussy Riot trial	1.8
4109	Israel bars German writer Grass from visiting over poem	Israel bars German author Grass over poem	4.4
4110	The Note's Must-Reads for August 1, 2012	The Note's Must Reads for Wednesday July 4, 2012	1.8
4111	NATO US troop detained over shooting of Afghan civilians	U.S. says saddened by shooting on Afghan civilians	2.4
4112	Hollande wins French presidential election	East Timor votes in presidential election	1.6
4113	Military: Syria chemical stocks threaten Israel	Russia tells Syria chemical arms threat is unacceptable	1.8
4114	Fitch upgrades Ford to investment grade	Fitch restores Ford credit to investment grade	3.6
4115	Syria peace plan conditions “unacceptable,” opposition says	Syria peace dashed as deadline passes	2
4116	Clashes as Greeks protest against more cutbacks	Clashes erupt as Greek vote nears	2.4
4117	9 dead, 11 hurt, 4 missing in Mont Blanc avalanche	6 dead, several missing in Mont Blanc avalanche	2.4
4118	Taliban pose as 'attractive women, on Facebook for spying	Taliban soldiers posing as pretty women on Facebook to get troops' secrets	4.6
4119	China activist Chen lands in US	Chinese activist renews call to fight injustice	1.2
4120	City Room: Empire State Building Shooting	2 dead in shooting outside Empire State Building	3.2
4121	Mohamed Morsi sworn in as Eygptian president	Mursi sworn in as Egyptian president	4.4
4122	Attack on Nato base in Afghanistan kills 15	Aid workers freed in Afghanistan raid	1
4123	Yemen Suicide Blast, Drone Attack Kill At Least 30	Spate of Iraq attacks kill at least six	1
4124	Torres moving on after Olympic bid fails	Torres finishes 4th, misses out on sixth Olympics	3
4125	Pakistan begins demolition of bin Laden compound	Pakistan demolishes Osama bin Laden hideout	2.8
4126	Sudan blames Israel for Khartoum arms fire	Sudan accuses Israel of airstrike on arms factory	3.6
4127	House-Senate deal reached on payroll tax measure	Negotiators reach deal on Congress payroll tax cut bill	3.8
4128	Tropical Storm Isaac drenches Haiti, swipes Cuba	Tropical Storm Isaac threatens dam	1.4
4129	Foreign pro-Palestinian activists seek to enter West Bank	100 pro-Palestinians seek to enter Israel at Allenby	2.2
4130	World stocks rise on hopes for EU, US stimulus	Stocks rise on hopes for a Fed stimulus	3
4131	Gore Vidal dead at 86: Legendary author, playwright, and politician dies	Gore Vidal, celebrated author, playwright, dies at 86	4
4132	World stocks fall before Greek debt deal deadline	Asia stocks fall ahead of Greek debt deal deadline	2.4
4133	South Africa police shot dead 30 miners	South Africa police say they killed 30+ miners	4.2
4134	Isaac drenches Haiti, heads toward Cuba, Florida	Isaac nears Haiti with homeless quake population	2.4
4135	Britain reaches out to Syria opposition	Who cares about the Syrian people?	1.2
4136	Obama relaxes deportation rules for young immigrants	U.S. relaxes deportation rules for young people: Napolitano	4
4137	Microsoft's Surface a big bet on future: Analysts	Microsoft's Surface tablet promising, but questions remain	3.8
4138	'Whitey' Bulger's girlfriend gets 8 years	"Mobster ""Whitey"" Bulger's girlfriend gets 8 years"	3.6
4139	Mauritanian president shot by army unit	Mauritanian president shot at	3.8
4140	Man sets himself on fire at Breivik trial	Man sets self afire outside Breivik trial	4.6
4141	U.S. drone strike kills 10 in northwest Pakistan	US drone in Pakistan kills 10 suspected militants	3.8
4142	9,000 U.S. Marines to leave Okinawa	9,000 U.S. Marines to move out of Okinawa: statement	5
4143	Toys R Us waives fee for layaway program	Wal-Mart lowers fee for holiday layaway program	1.8
4144	Iran expands nuclear enrichment activities: IAEA report	Iran steps up sensitive nuclear work - IAEA	3
4145	Donna Summer, Queen of Disco, dies at 63	Donna Summer, the queen of disco	3
4146	Iraqi Attacks Kill General, Four Police	Attacks in Iraq kill general and 4 others	4
4147	At least 80 dead in northwest Iran quakes	180 dead, 1,300 injured in northwest Iran earthquakes	2.6
4148	Brazil's 'pop-star priest' gets mammoth new stage	Brazil's 'Pop-Star Priest' Gets Mammoth New Stage	5
4149	Washington: More Than 100 Are Charged in Medicare Fraud Sweep	Washington: Court Upholds Voting Rights Act in Alabama Case	0.6
4150	Putin claims victory in Russia's presidential election	Putin claims victory in presidential vote	4.2
4151	Clinton ready to fight for Obama	Clinton a tough act for Obama to follow	1
4152	Romney announces Paul Ryan as running mate	Romney chooses Ryan as GOP running mate	4.4
4153	European markets rise on Greek bailout hopes	European Ministers Are Poised to Approve Greek Rescue	2.2
4154	Edwards Acquitted on 1 Count, Mistrial on Others	Edwards found not guilty on one count; mistrial on others	4.6
4155	Ukrainian weightlifter gets four-year doping ban	Ukraine's Korobka gets four-year doping ban	4.2
4156	Gunman may have filmed school massacre	Killer may have filmed France school shooting	3
4157	Hong Kong stocks close down 0.28%	Hong Kong stocks open 0.62 pct higher	1.6
4158	Suicide bomber attacks Algerian security base	Suicide bomber targets Nigerian church	0.8
4159	Thailand: Iranians planned to attack Israelis	Malaysia to extradite Iranian for attack on Israelis	1
4160	Israeli military court rejects appeal of Palestinian hunger striker	Israel reaches deal with Palestinian hunger strikers	1.2
4161	Avengers sets box office record	'Hunger Games' sets box office records	1.6
4162	Putin 'Wins Russian Presidential Election'	Putin 'wins' Russia's presidential election	4.2
4163	Putin casts ballot as Russians vote	Putin to win Russia's presidential election	1.4
4164	UN Chief Finds His Voice, Remains Cautious on China	Insight: U.N. chief finds his voice, but remains cautious on China	4.8
4165	Libyans begin handing in weapons	Libyans transfer weapons to army	3.2
4166	British Archbishop of Canterbury changes career to Cambridge	Archbishop of Canterbury to step down amid rifts	2.4
4167	Punjab Mail derails near Rohtak, 19 injured	Punjab Mail derails near Rohtak in Haryana, 19 injured	4.2
4168	George Zimmerman 'to be charged' with killing Trayvon Martin	George Zimmerman to be charged in Trayvon Martin case, official says	4
4169	Indian Maoist rebels offer talks to free Italian hostages	India: Maoist rebels in talks on freeing Italians	3.8
4170	Two reported dead in shooting at Empire State Building in NY	City Room: Empire State Building Shooting	2.8
4171	Five dead in Pakistan suicide blast	At least 63 dead in Pakistan factory blaze	1
4172	Penn State football players react to sanctions	Penn State football slammed with NCAA sanctions	2.4
4173	Israel must release or try Palestinian on prolonged hunger strike	Israeli minister wants Palestinian leader's ouster	0.5
4174	UN report says both sides in Syria abuse rights	NATO leader plays down risk of Turkey-Syria clash	1
4175	Girl accused of burning Koran goes into hiding	Girl accused of burning Koran bailed	3.2
4176	France warns Syria over chemical weapons use	U.N. concerned at possible Syria chemical weapons	2.2
4177	Life-threatening Midwest storms feared	'Life-Threatening' Storms Feared for Midwest	4.4
4178	Chicago teacher strike nears end with 'framework' agreement in place	General strike ends: Histadrut, Treasury reach agreement	0.8
4179	Indonesian president to visit UK	Indonesian president to visit Australia	1.4
4180	Storm delays start of Republican convention	Storm lashes Florida, delaying Republican convention	4.4
4181	At least two Nato killed in Afghanistan helicopter crash: military	At least 18 killed in Afghan bomb attacks: officials	0.8
4182	President Mills must quit - Lecturer	President John Evans Atta-Mills Must Resign Now -NPP Germany	2.6
4183	Miami Heat wins NBA Finals	Miami Heat clinches NBA Championship	5
4184	Japan closes last nuclear reactor	Japan switches off last nuclear power plant this weekend	4.2
4185	Ryanair in new bid for Aer Lingus	Ryanair chief hails report findings	1.2
4186	Russian Air Force celebrates 100th anniversary	Russian air force's 100th anniversary	4.4
4187	6 NATO troops killed in Afghanistan	NATO Soldier Killed in Afghanistan	2.2
4188	Not so Super Tuesday for Mitt Romney	Romney leads Santorum in GOP Super Tuesday contests	1.6
4189	Putin sworn in as Russian growth falters	Putin sworn in as Russia's president for 6 years	2.4
4190	ArQule, Daiichi stop lung cancer trial, shares tank	ArQule stock plunges as lung cancer study shelved	3.4
4191	Teenager and father killed in crash	Three killed in horror crash are named	1.6
4192	6.1-magnitude quake strikes Indonesia	6.1-magnitude quake hits Papua, Indonesia -- USGS	4.2
4193	2 Americans Killed as Afghan Unrest Enters Fifth Day	Two American Officers Murdered As Afghan Unrest Continues	4.2
4194	Officials: Romney to get Secret Service protection	Obama addresses Secret Service scandal	0.6
4195	Japan PM calls for quicker tsunami waste processing	Japan marks one year since quake and tsunami disaster	1
4196	Syrian fighter pilot defects to Jordan	Syrian PM defects to Jordan	1.4
4197	Syrian Arab Republic (the): Syrian Arab Republic: Syrian Refugees (as of 28 June 2012)	Syrian Arab Republic (the): More than 70 killed in Syria ahead of Annan return	1.2
4198	Suicide bomber kills 16 in Afghanistan	Suicide bomber kills 12 in Nigeria church	1.2
4199	Airlines cancel 'flytilla' activists' tickets to TA	UK Airline Cancels 'Flytilla' Tickets on Israel Objections	3.2
4200	Spain asks for bank rescue	Spaniard on trial for Cuban dissident’s death	0.2
4201	The murky waters of the South China Sea	Peace lies over the South China Sea	1.4
4202	Sri Lanka seek one-day revival against Pakistan	Senior journalist killed in Pakistan	0.6
4203	SpaceX docks with International Space Station: Up next, public travel?	SpaceX Dragon Docks With International Space Station	3.8
4204	'Million Muppet March' to defend Obama backing of PBS	Million Muppet March planned to defend U.S. backing for PBS	4
4205	Syrian opposition in reconciliation talks	Syrian Opposition Council to Establish Envoy in France	1.4
4206	Sensex down 193 points on budget blues	Romney won't volunteer budget differences	1
4207	Facebook boosts size of IPO by 25pc to raise $15bn	Facebook boosts size of IPO by 25 percent	3.6
4208	Iran's Parliament Questions A Dismissive Ahmadinejad	Iran's parliament questions President Ahmadinejad	4
4209	Yemen suicide attack kills 7 soldiers: officials	Afghan suicide car bomb kills at least seven: officials	1.6
4210	Presidential vote polarises Egyptians	GOP presidential hopefuls clash in Southern races	0.8
4211	Three more US soldiers killed in Afghanistan	NATO Soldier Killed in Afghanistan	1.8
4212	Police raise death toll in bus accident to 8	Rodney King death ruled accidental	0.4
4213	Four foreign soldiers killed in Afghan east	2 British soldiers killed in Afghan insider attack	0.8
4214	Red Cross worker killed in Pakistan	British Red Cross doctor kidnapped in Pakistan found beheaded	3.6
4215	Afghan, US govts sign deal on controversial night raid	Afghans, US sign deal on night raids	3.8
4216	China mine accident kills 10	China truck accident kills 20	1.6
4217	Australia can eclipse England in Windies	Australian PM defiant under pressure over leadership	0.4
4218	Protests at Pussy Riot verdict	Pussy Riot verdict greeted with defiance	3.4
4219	Secret Service sees its 'biggest scandal' over prostitutes	Secret Service sex scandal 'regret'	2.2
4220	Kuwait: Activists storm Syrian embassy; two injured	Activists storm Syria embassy in Kuwait	3.4
4221	Details of Aung San Suu Kyi's visit to Ireland	Rapturous welcome for Aung San Suu Kyi's historic trip	3.4
4222	Key says marae visit a lost opportunity	Key wants Waitangi marae visit to stay	2.2
4223	Norway marks anniversary of massacre	Norway Marks Anniversary of Breivik's Massacre	3.8
4224	Woman killed by falling debris	When an ally declines	0
4225	Aust shares up 1% after interest rate cut	RBA delivers another rate cut	1
4226	Germany warns Greece: No more money without reforms	Euro zone to Greece: No rescue without reforms	2.6
4227	Obama to meet families of shooting victims	Obama to meet Batman gun victims	3.2
4228	Obama widens lead over Romney despite jobs data: Reuters/Ipsos poll	"Romney takes lead over Obama with convention ""bounce"": Reuters/Ipsos poll"	1
4229	Two killed, 19 injured in Toronto shooting	Two dead, 7 injured in Finland shooting	1.4
4230	What the Pope's butler saw – aide arrested over Vatican leaks	Pope’s butler arrested in scandal over Vatican leaks	3.4
4231	Anti-Putin protesters form human chain in Moscow	Anti-Putin protesters form human chain	3.8
4232	Washington's Acts of Congress sells for $9.8M	George Washington's copy of US Constitution sells for $9.8m	2.6
4233	Lakers Fire Coach Mike Brown After 1-4 Start	Lakers fire Mike Brown after 1-4 start	4.4
4234	Canadian Muslims issue fatwa against 'honor killing'	US, Canadian imams issue fatwa against honour killings	3.4
4235	U.N. to take up Syria resolution	UN Assembly to Vote on Syria Resolution	3.6
4236	Soldier 'can't recall' massacre	US soldier ‘doesn’t recall massacre’	4.4
4237	Libya PM names new cabinet after protests over original	Libyan assembly rejects new cabinet, dismisses PM	1.2
4238	4 foreign soldiers killed in Afghan east	4 French Soldiers Reported Killed in Afghanistan	3.8
4239	Syrian forces storm central town	Syrian forces bombard Homs, Russia warns of civil war	2.5
4240	Pak: 20 dead in anti-Islam film protests	25 injured in anti-Islam film protest in Islamabad, Pakistan	2.2
4241	Cause of Whitney Houston's death could take weeks	Investigators seek answers to Whitney Houston's death	1.8
4242	N Korea warns of retaliation for South Korea drill	North warns of retaliation for Seoul's naval drill plan	3.6
4243	A Tale of Two Passes: How The New York Giants Won The Super Bowl	Lesser of two evils triumphs in Super Bowl	1.4
4244	One dead in new Israeli strike on Gaza	Two killed in new Israeli strike on Gaza: medics	3.6
4245	Germany Likely to Press Russia on Syrian Crisis	What is Russia thinking on Syria? A brief guide	1
4246	Four seriously injured in M23 motorway crash	Four injured in motorway crash	3.6
4247	UN aid chief Amos enters Baba Amr with Red Crescent	Syria's besieged Baba Amr is deserted, Red Cross says	2
4248	Dozens killed in Nigerian riots	Dozens killed in Kenyan clashes	1
4249	Profiles of Egypt's main presidential candidates	Second day of Egyptian presidential election	1.2
4250	Actor Gazzara dead at 81	Actor Ben Gazzara dies at 81	4.4
4251	British gold rush silences gripes over cost	2 British soldiers killed in Afghan insider attack	0.6
4252	Avalanche buries at least 100 Pakistani soldiers	Avalanche buries over 100 Pakistani soldiers	4.6
4253	Inflation falls to 15-month low: what the analysts say	Inflation falls to 15-month low	4.6
4254	Komen won't cut Planned Parenthood funding	Susan G Komen in U-turn over Planned Parenthood funding cut	3
4255	Forex &amp; Gold 25 August 2012	Forex & Gold 19 July 2012	2.2
4256	Iran says UN nuclear talks will continue	Iran says nuclear talks with UN 'constructive'	2.8
4257	Agribusiness: Mad cow disease found in California	USDA Confirms Case of Mad Cow Disease in California	4.2
4258	BP sells some Gulf of Mexico assets for $5.55 bil	BP sells Gulf of Mexico assets to Plains for $5.55 bn	3.6
4259	300 potential Jimmy Savile victims: police	UK: 300 potential Savile abuse victims emerge	3.6
4260	Armstrong steps down from Livestrong	Armstrong standing down from Livestrong	4.6
4261	US drone strike kills 5 militants in Pakistan	U.S. drone strikes kill 16 suspected militants in Yemen	1.8
4262	Syrian govt wont stop attacks	Syrian opposition reports 'massacre'	1
4263	Chinese stocks close higher midday Friday	Chinese stocks higher at midday Friday	4.6
4264	Myanmar: Opposition claims Suu Kyi win	Voters in Myanmar hopeful as Suu Kyi's party claims win	3.2
4265	Obama's poll rating drops in boost for Republican rivals	Obama's big Hispanic win worries Republicans	1
4266	Two Aust soldiers wounded in Afghanistan	4 foreign soldiers killed in Afghan east	1.2
4267	New Syria opposition chief wants no-strings aid	Syria opposition unites as Israel fires warning shots	1
4268	South Africa mine clash kills at least 30	South Africa train crash kills 26	0.8
4269	Syrian forces bombard Homs, Russia warns of civil war	Syrian forces bombard Homs, Lavrov arrives for talks	2.6
4270	Egypt presidential election results delayed	Egyptian election result delayed	4.2
4271	Deadline passes with no new Iran sanctions	EU Moves Closer to New Iran Sanctions	1.6
4272	Arrested Russian killer denies ties to Pussy Riot	Dozens arrested in Russian TV tower protest	0.8
4273	Norway memorial honours 77 massacre victims	Norway marks anniversary of massacre	2.8
4274	US Afghanistan general linked to Petraeus scandal	Senior US general linked to Petraeus scandal	3.8
4275	Chinese stocks fall after RRR cut - May 14	Chinese stocks gain at midday Monday	2
4276	"NKorea makes ""significant"" nuclear reactor progress - IAEA"	N. Korea vows to expand nuclear deterrent	2.8
4277	Maldives president quits after police mutiny, protests	Maldives president quits after weeks of protest	3.4
4278	NATO strike 'kills civilians' in Afghanistan	Two NATO soldiers killed in Afghanistan	0.8
4279	Al-Qaida says it captures 70 Yemeni soldiers in Abyan's battle	Al Qaeda clashes, blasts kill 35 soldiers in Yemen	1.4
4280	Navy jet crashes into US apartments, pilots eject	U.S. Navy Jet Crashes Into Virginia Apartment Buildings	3.4
4281	China stocks open higher Wednesday	US stocks open higher despite GDP miss	0.8
4282	IDF to deploy Iron Dome in Central Israel	Major snowstorm barrels down on Central Plains	0
4283	4 Killed in US Drone Strike in Pakistan	U.S. Drone Strike Kills 3 in Pakistan	3
4284	US teen held in Chicago 'jihad' car bomb plot	Chicago teen arrested in Chicago car bomb plot	3.4
4285	PC David Rathband: twin brother's fears for his 'bestest mate'	David Miliband: my brother and a return to old Labour	0.2
4286	Syrian forces move to retake Aleppo	Syrian Regime Bids To Retake City Of Aleppo	4.4
4287	20-member parliamentary, trade team leaves for India	Commerce secretary to take leave of absence	0
4288	Wall Street Opens Lower	Wall Street Ends Mixed	2
4289	Europe shares bounce as more China stimulus seen	Oil prices rise on hopes for stimulus	0.8
4290	Stock index futures point to lower start	Stock index futures signal early losses	4.4
4291	Man charged after MP hurt in attack	Man charged with murder in flat	1.4
4292	Nokia apologises for 'faked' ad	US waives riders for Pak aid	0
4293	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan	3
4294	Syria rebels leave besieged Homs	Syrian rebels retreat from besieged Homs district	4.4
4295	U.S. orders non-essential staff to leave Sudan, Tunisia	US orders non-essential staff to leave Tunisia, Sudan	4
4296	Egypt's Mubarak critical	Egypt's Mubarak in critical condition	4.6
4297	Assad says mercenaries are behind Syria unrest	Assad Accuses US of Fueling Syrian Uprising	3.33333333333333
4298	Japan PM dissolves lower house for election	Iran and world powers set for nuclear talks	0
4299	Two killed in new Israeli strike on Gaza: medics	5 die in strikes on Gaza, militants barrage Israel	2
4300	Navy jet crashes into Virginia buildings, injuring six	Navy jet crashes into Virginia apartments,9 hurt	3.2
4301	One NATO soldier killed in S. Afghanistan	British soldier killed in southern Afghanistan	3.2
4302	Spain jobless rate hits new high	Spain's jobless claims hit new high	4.2
4303	Turkey scrambles jets near border	Turkey scrambles jets to Syrian border	3.6
4304	Two die in Syria violence after UN monitors land	Two year doping ban for Contador	0
4305	Civilian, defector killed in Syria, says NGO	Syria gunmen kill three Syrian officers: NGO	1
4306	Taiwan rattled by strong earthquake	China rocked by twin earthquakes	1.2
4307	Bank of England's Paul Tucker tainted by Libor mess	Bank of England deputy denies ordering rate-rigging	2.8
4308	Red Cross says negotiating halt to fighting in Syria to take aid	Red Cross negotiating Syria ceasefire to bring aid	4.4
4309	Syrian forces shoot civilians on bus	Syrian forces, rebels clash near Turkey	0.8
4310	German parliament overwhelmingly backs Greek rescue deal	German parliament endorses Greek bailout	4.4
4311	Bombings, clashes continue in Syria	Bombings, clashes as Syria opposition seeks arms	3.4
4312	Burma's reforms bring easing of U.S. sanctions	Burma activists say go slow on easing sanctions	2.4
4313	Usain Bolt wins 200m – Steven Howard reaction	Facebook mobile gains drive revenue growth: reaction	0.2
4314	Dozens dead in Taliban resort attack	'India police name 3 Iranians in embassy attack'	0.4
4315	Heavy fighting rocks eastern Syria ahead of poll	Heavy fighting rocks eastern Syria - residents	3.8
4316	China yuan weakens to 6.3282 against USD Monday	China yuan retreats to 6.2697 against USD Thursday	2.8
4317	7 dead in Christian school shooting	5 wounded in Ohio school shooting	1.4
4318	Indonesia anti-terror squad kills two suspected militants	Indonesia police shoot dead suspected militants in Bali	3.2
4319	US Election: Mitt Romney concedes defeat as Barack Obama wins second term	Romney concedes election to Obama in phone call	4
4320	Armenians vote in parliamentary elections	Armenia's parliamentary vote a test for president	3.2
4321	Sachin Tendulkar is sworn in as Indian senator	MP Sachin Tendulkar says no to govt bungalow	1.6
4322	Navy Jet Crashes Into Apartment Building	U.S. Navy Jet Crashes Into Virginia Apartment Buildings	3.6
4323	Romney wins big in Puerto Rico primary	Romney wins Illinois primary	1.5
4324	Yahoo! to name Google's Mayer as CEO: report	Yahoo names Google exec Mayer as CEO	4.2
4325	US soldier accused of Afghan massacre hires prominent criminal lawyer	US soldier accused of killing Afghan civilians identified	2
4326	6.0-magnitude quake hits northern Italy: USGS	5.9-magnitude quake hits Sunda Strait, Indonesia: USGS	1.6
4327	US gov't officially designates Haqqani network as terrorists	US designates Haqqani network as terrorists	4.4
4328	Motor Racing: Button fastest in year's first F1 practice	Button boasts best time after first practice	3
4329	Rangers voted into Division Three	Rangers voted into third division	4.8
4330	Newark mayor saves neighbor from fire	Newark mayor rescues neighbor from burning house	4.2
4331	F1 protests in Bahrain	A day of rage in Bahrain	2.25
4332	New York Stock Exchange to reopen Wednesday	DealBook: Stock Exchanges Prepare to Open	3
4333	Homs mortar fire kills 105	Homs offensive kills 200	2.6
4334	Hundreds honor student killed in Ohio shooting	Funeral set for Ohio shooting victim	2
4335	Bombs in southern Thailand kill 5, wound 50	Bombs in Thailand kill 14, wound 340	3
4336	US lawmakers take next step on new Iran sanctions	Somalia lawmakers to vote for new president	0.2
4337	Barack Obama admits US has 'more nuclear weapons than we need'	French gunman wants to 'die with weapons in hands'	0.4
4338	2 rockets hit in the Eshkol region; no injuries	10 rockets in 20 minutes in Eshkol Regional Council	1.8
4339	'Betrayed' disabled workers protest against Remploy closures	May Day marked by protests against austerity cuts	0.6
4340	DR Congo rebels kill park rangers	Rebels kill two park rangers in eastern Congo	4
4341	Nine Pakistani troops killed in militant ambush	Trade: Pakistan, India agree to take it a step ahead	0.8
4342	74 dead in Egypt soccer violence	At least 73 die in Egyptian soccer pitch invasion	3.2
4343	Unrest in tense Nigeria leaves at least 95 dead	Southwest China quakes kill at least 50	0.2
4344	Hurricane Sandy makes landfall in southeastern Jamaica: NHC	Hurricane Sandy reaches Jamaica	3
4345	Remarks With Prime Minister Elkeib After Their Meeting	Remarks With Foreign Minister Koichiro Gemba	1.5
4346	Barrick in talks with China firm over African assets	Obama aide holds talks in China after Syria veto	1.2
4347	Mall attackers used 'less is more' strategy	In Kenya, attackers used 'less is more' strategy	3
4348	Weak earnings drag stocks lower	Weak earnings drag stocks lower on Wall Street	3.8
4349	6.8 quake strikes off Solomon Islands	Magnitude 6.3 quake strikes off Solomon Islands: USGS	3.2
4350	Liquid ammonia leak kills 15 in Shanghai	Liquid ammonia leak kills at least 15 in Shanghai	4.6
4351	Friends of Syria recognizes opposition coalition as legitimate representative of Syrian people	U.S., Friends of Syria recognise opposition as sole representative	4
4352	Weiner stays in NYC mayor's race amid new sexting scandal	Weiner shrugs off latest online sex scandal	3
4353	Death toll rises in Russia plane crash	Death toll rises to 39 in Italy coach crash	0
4354	Indian media: Commonwealth summit	Indian PM snubs Commonwealth summit	2.8
4355	Syria military police chief defects to opposition	Syria military police chief defects to rebels	5
4356	Boeing 787 Dreamliner catches fire; stock takes a beating	Boeing stock tumbles after fire on 787 Dreamliner	4.6
4357	Yvette Cooper backs gay marriage bill	White House backs gay marriage	2.6
4358	Five killed in Belgian coach crash	Teenagers among 5 dead in Belgian bus crash	3.8
4359	Gunmen abduct seven foreign workers in Nigeria	Seven foreign workers kidnapped in Nigeria	3.4
4360	Swiss tourist 'gang-raped' in India	Swiss tourist gang raped in India, say police	5
4361	Palestinians clash with Israeli forces in West Bank, Jerusalem	Palestinians clash with security forces in W. Bank	4.2
4362	Israel planes strike inside Syria	Israel launches airstrike into Syria	4.6
4363	Iranians Vote in Presidential Election	Keita Wins Mali Presidential Election	0.4
4364	100 killed in new Darfur tribal clashes	'9 Dead' in New Darfur Tribal Clash	2.8
4365	Protest against US drone strikes in Pak postponed	6 killed in U.S. drone strike in NW Pakistan	1.4
4366	12 killed in bus accident in Pakistan	10 killed in road accident in NW Pakistan	3.2
4367	Carney sets high bar to change at BoE	Carney sets high bar to changes at Bank of England	5
4368	8 arrested after deadly Bangladesh building collapse	Four arrested as Bangladesh building toll rises to 352	2.4
4369	Suicide bomber kills 3 at US base in Afghanistan	Suicide bombers attack US base in Afghanistan	2.8
4370	Afghans flock to colleges, even as Taliban loom	Afghan District Governor Defects To Taliban	0.6
4371	North Korea Postpones Family Reunions with South	North Korea 'postpones' family unions with South Korea	5
4372	Apple revenue misses again, iPhone disappoints	U.S. trade agency rules for Samsung, bans iPhone 4 imports	0.6
4373	Gunmen kill 10 foreign tourists in northern Pakistan	Gunmen kill 11 foreign climbers in Pakistan	3.4
4374	David Beckham Announces Retirement From Soccer	David Beckham retires from football	4.4
4375	Matt Smith to leave Doctor Who after 4 years	Matt Smith quits BBC’s Doctor Who	4
4376	Generations divided over gay marriage	G20 Summit ends divided over Syria	0
4377	23 killed in Iraq car bombings	10 killed in Iraq bomb attack	1.6
4378	Man Who Set Himself on Fire on National Mall Dies of Injuries	Man 'who set himself ablaze' on National Mall dies	5
4379	Taliban attacks kill 17 civilians in Afghanistan	Series of attacks kill 10 police in Afghanistan	1.4
4380	Egypt minister survives assassination attempt	Syrian prime minister 'survives assassination attempt'	1.6
4381	Ex-first lady Barbara Bush leaves Texas hospital	Former first lady Barbara Bush leaves hospital	4.6
4382	Schumacher in a coma after ski accident	Michael Schumacher still in a coma fighting for his life following skiing accident	4
4383	11 killed in Chinese police station attack	Eleven killed in China police station attack	5
4384	Bradley Cooper and JJ Abrams in talks about filming a Lance Armstrong biopic	Bradley Cooper in talks to play Lance Armstrong in biopic	4
4385	Boeing airliner crashes in Russia, 50 killed	Boeing airliner crashes in Russian city of Kazan, 50 killed	3.8
4386	EU ministers 'determined' to resolve horsemeat scandal	EU ministers hold crisis talks over horse meat scandal	4.4
4387	Thai opposition party to boycott general election	Thai opposition announces election boycott	4.8
4388	Bangladesh building collapse death toll hits 540: army	Bangladesh building collapse death toll passes 1,000	2.6
4389	Jagan Reddy shifted to hospital, power crisis continues in Seemandhra	Telangana: Jagan to spend Thursday in hospital; blackout continues in Seemandhra	4.2
4390	Central African Republic president overthrown by rebels	Central African Republic President, PM stepping down	2.6
4391	Brazil tied 2-2 by England as Maracana re-opens	Brazil held by England 2-2 as Maracana re-opens	5
4392	California wildfire: 1,900 on the lines as firefighters labor to limit damage (+video)	California wildfire grows but officials say fire crews making progress	3.8
4393	George W. Bush warns against bitter immigration debate	George W Bush weighs into immigration debate	3
4394	Mandela hospitalized, responding to treatment	Mandela hospitalised after he stops talking	3.4
4395	Russia condemns North Korean nuclear test	South Korea confirms that North Korea has conducted controversial third nuclear test	1.2
4396	Hundreds of Bangladesh clothes factory workers ill	Hundreds fall sick in Bangladesh factory	4.4
4397	Yemen suicide bombing kills soldiers	Female suicide bomber kills 16 at Russian station	2
4398	18 trapped in Russian coal mine blast	Ten killed in Russia coal mine blast	2.8
4399	Thai protesters break into army headquarters	Thai protesters storm army headquarters	4.6
4400	Israel conducts airstrike on Syria	Israel launches new airstrike against Syria	4.4
4401	Police fire tear gas to disperse protesters in Tunis	Police fire tear gas at protesters in Cairo	2.2
4402	Egypt's main opposition rejects president's call for dialogue	Egypt opposition mulls response to Morsi dialogue call	3.8
4403	Tokyo to host 2020 Olympic Games	Wrestling to feature in 2020 Tokyo Olympics	1.4
4404	Housing starts up 6.8% in May	May Housing Starts Up 6.8%	4.6
4405	&gt;Cuba's Castro assumes CELAC presidency	Cuba's Castro to Take Over CELAC Presidency	5
4406	6.9 magnitude earthquake hits New Zealand	5.6 magnitude earthquake shakes Iran	0.2
4407	Dozens feared trapped in India building collapse	Rescuers race to find 20 still trapped in India building collapse	3
4408	Daily Press Briefing: South Sudan	Daily Press Briefing: Syria	1.2
